  Frequency            , NTOT(onoise)         
  1.137627285823e+00  ,9.087951321531e-18  
  1.140249787561e+00  ,9.087951321531e-18  
  1.142878334790e+00  ,9.087951321531e-18  
  1.145512941446e+00  ,9.087951321531e-18  
  1.148153621497e+00  ,9.087951321531e-18  
  1.150800388944e+00  ,9.087951321531e-18  
  1.153453257821e+00  ,9.087951321531e-18  
  1.156112242192e+00  ,9.087951321531e-18  
  1.158777356155e+00  ,9.087951321531e-18  
  1.161448613840e+00  ,9.087951321531e-18  
  1.164126029410e+00  ,9.087951321531e-18  
  1.166809617061e+00  ,9.087951321531e-18  
  1.169499391020e+00  ,9.087951321531e-18  
  1.172195365548e+00  ,9.087951321531e-18  
  1.174897554940e+00  ,9.087951321531e-18  
  1.177605973521e+00  ,9.087951321531e-18  
  1.180320635652e+00  ,9.087951321531e-18  
  1.183041555725e+00  ,9.087951321531e-18  
  1.185768748167e+00  ,9.087951321531e-18  
  1.188502227437e+00  ,9.087951321531e-18  
  1.191242008027e+00  ,9.087951321531e-18  
  1.193988104464e+00  ,9.087951321531e-18  
  1.196740531307e+00  ,9.087951321531e-18  
  1.199499303149e+00  ,9.087951321531e-18  
  1.202264434617e+00  ,9.087951321531e-18  
  1.205035940372e+00  ,9.087951321531e-18  
  1.207813835107e+00  ,9.087951321531e-18  
  1.210598133550e+00  ,9.087951321531e-18  
  1.213388850465e+00  ,9.087951321531e-18  
  1.216186000646e+00  ,9.087951321531e-18  
  1.218989598925e+00  ,9.087951321531e-18  
  1.221799660165e+00  ,9.087951321531e-18  
  1.224616199265e+00  ,9.087951321531e-18  
  1.227439231158e+00  ,9.087951321531e-18  
  1.230268770812e+00  ,9.087951321531e-18  
  1.233104833229e+00  ,9.087951321531e-18  
  1.235947433445e+00  ,9.087951321531e-18  
  1.238796586530e+00  ,9.087951321531e-18  
  1.241652307592e+00  ,9.087951321531e-18  
  1.244514611771e+00  ,9.087951321531e-18  
  1.247383514243e+00  ,9.087951321531e-18  
  1.250259030218e+00  ,9.087951321531e-18  
  1.253141174941e+00  ,9.087951321531e-18  
  1.256029963695e+00  ,9.087951321531e-18  
  1.258925411794e+00  ,9.087951321531e-18  
  1.261827534591e+00  ,9.087951321531e-18  
  1.264736347471e+00  ,9.087951321531e-18  
  1.267651865858e+00  ,9.087951321531e-18  
  1.270574105209e+00  ,9.087951321531e-18  
  1.273503081017e+00  ,9.087951321531e-18  
  1.276438808811e+00  ,9.087951321531e-18  
  1.279381304158e+00  ,9.087951321531e-18  
  1.282330582656e+00  ,9.087951321531e-18  
  1.285286659944e+00  ,9.087951321531e-18  
  1.288249551693e+00  ,9.087951321531e-18  
  1.291219273614e+00  ,9.087951321531e-18  
  1.294195841450e+00  ,9.087951321531e-18  
  1.297179270984e+00  ,9.087951321531e-18  
  1.300169578033e+00  ,9.087951321531e-18  
  1.303166778452e+00  ,9.087951321531e-18  
  1.306170888132e+00  ,9.087951321531e-18  
  1.309181922999e+00  ,9.087951321531e-18  
  1.312199899019e+00  ,9.087951321531e-18  
  1.315224832192e+00  ,9.087951321531e-18  
  1.318256738556e+00  ,9.087951321531e-18  
  1.321295634187e+00  ,9.087951321531e-18  
  1.324341535195e+00  ,9.087951321531e-18  
  1.327394457730e+00  ,9.087951321531e-18  
  1.330454417978e+00  ,9.087951321531e-18  
  1.333521432163e+00  ,9.087951321531e-18  
  1.336595516546e+00  ,9.087951321531e-18  
  1.339676687426e+00  ,9.087951321531e-18  
  1.342764961138e+00  ,9.087951321531e-18  
  1.345860354056e+00  ,9.087951321531e-18  
  1.348962882592e+00  ,9.087951321531e-18  
  1.352072563194e+00  ,9.087951321531e-18  
  1.355189412351e+00  ,9.087951321531e-18  
  1.358313446587e+00  ,9.087951321531e-18  
  1.361444682466e+00  ,9.087951321531e-18  
  1.364583136589e+00  ,9.087951321531e-18  
  1.367728825596e+00  ,9.087951321531e-18  
  1.370881766165e+00  ,9.087951321531e-18  
  1.374041975013e+00  ,9.087951321531e-18  
  1.377209468894e+00  ,9.087951321531e-18  
  1.380384264603e+00  ,9.087951321531e-18  
  1.383566378972e+00  ,9.087951321531e-18  
  1.386755828872e+00  ,9.087951321531e-18  
  1.389952631213e+00  ,9.087951321531e-18  
  1.393156802945e+00  ,9.087951321531e-18  
  1.396368361056e+00  ,9.087951321531e-18  
  1.399587322573e+00  ,9.087951321531e-18  
  1.402813704562e+00  ,9.087951321531e-18  
  1.406047524130e+00  ,9.087951321531e-18  
  1.409288798422e+00  ,9.087951321531e-18  
  1.412537544623e+00  ,9.087951321531e-18  
  1.415793779957e+00  ,9.087951321531e-18  
  1.419057521689e+00  ,9.087951321531e-18  
  1.422328787123e+00  ,9.087951321531e-18  
  1.425607593602e+00  ,9.087951321531e-18  
  1.428893958511e+00  ,9.087951321531e-18  
  1.432187899274e+00  ,9.087951321531e-18  
  1.435489433354e+00  ,9.087951321531e-18  
  1.438798578256e+00  ,9.087951321531e-18  
  1.442115351525e+00  ,9.087951321531e-18  
  1.445439770746e+00  ,9.087951321531e-18  
  1.448771853545e+00  ,9.087951321531e-18  
  1.452111617588e+00  ,9.087951321531e-18  
  1.455459080582e+00  ,9.087951321531e-18  
  1.458814260275e+00  ,9.087951321531e-18  
  1.462177174457e+00  ,9.087951321531e-18  
  1.465547840956e+00  ,9.087951321531e-18  
  1.468926277644e+00  ,9.087951321531e-18  
  1.472312502433e+00  ,9.087951321531e-18  
  1.475706533276e+00  ,9.087951321531e-18  
  1.479108388168e+00  ,9.087951321531e-18  
  1.482518085146e+00  ,9.087951321531e-18  
  1.485935642287e+00  ,9.087951321531e-18  
  1.489361077711e+00  ,9.087951321531e-18  
  1.492794409579e+00  ,9.087951321531e-18  
  1.496235656094e+00  ,9.087951321531e-18  
  1.499684835502e+00  ,9.087951321531e-18  
  1.503141966090e+00  ,9.087951321531e-18  
  1.506607066187e+00  ,9.087951321531e-18  
  1.510080154164e+00  ,9.087951321531e-18  
  1.513561248436e+00  ,9.087951321531e-18  
  1.517050367459e+00  ,9.087951321531e-18  
  1.520547529732e+00  ,9.087951321531e-18  
  1.524052753797e+00  ,9.087951321531e-18  
  1.527566058238e+00  ,9.087951321531e-18  
  1.531087461682e+00  ,9.087951321531e-18  
  1.534616982799e+00  ,9.087951321531e-18  
  1.538154640303e+00  ,9.087951321531e-18  
  1.541700452950e+00  ,9.087951321531e-18  
  1.545254439538e+00  ,9.087951321531e-18  
  1.548816618912e+00  ,9.087951321531e-18  
  1.552387009958e+00  ,9.087951321531e-18  
  1.555965631605e+00  ,9.087951321531e-18  
  1.559552502827e+00  ,9.087951321531e-18  
  1.563147642641e+00  ,9.087951321531e-18  
  1.566751070108e+00  ,9.087951321531e-18  
  1.570362804334e+00  ,9.087951321531e-18  
  1.573982864466e+00  ,9.087951321531e-18  
  1.577611269699e+00  ,9.087951321531e-18  
  1.581248039270e+00  ,9.087951321531e-18  
  1.584893192461e+00  ,9.087951321531e-18  
  1.588546748598e+00  ,9.087951321531e-18  
  1.592208727051e+00  ,9.087951321531e-18  
  1.595879147237e+00  ,9.087951321531e-18  
  1.599558028615e+00  ,9.087951321531e-18  
  1.603245390690e+00  ,9.087951321531e-18  
  1.606941253013e+00  ,9.087951321531e-18  
  1.610645635178e+00  ,9.087951321531e-18  
  1.614358556826e+00  ,9.087951321531e-18  
  1.618080037643e+00  ,9.087951321531e-18  
  1.621810097359e+00  ,9.087951321531e-18  
  1.625548755750e+00  ,9.087951321531e-18  
  1.629296032640e+00  ,9.087951321531e-18  
  1.633051947894e+00  ,9.087951321531e-18  
  1.636816521428e+00  ,9.087951321531e-18  
  1.640589773200e+00  ,9.087951321531e-18  
  1.644371723215e+00  ,9.087951321531e-18  
  1.648162391525e+00  ,9.087951321531e-18  
  1.651961798229e+00  ,9.087951321531e-18  
  1.655769963470e+00  ,9.087951321531e-18  
  1.659586907438e+00  ,9.087951321531e-18  
  1.663412650370e+00  ,9.087951321531e-18  
  1.667247212551e+00  ,9.087951321531e-18  
  1.671090614311e+00  ,9.087951321531e-18  
  1.674942876026e+00  ,9.087951321531e-18  
  1.678804018123e+00  ,9.087951321531e-18  
  1.682674061070e+00  ,9.087951321531e-18  
  1.686553025389e+00  ,9.087951321531e-18  
  1.690440931643e+00  ,9.087951321531e-18  
  1.694337800447e+00  ,9.087951321531e-18  
  1.698243652462e+00  ,9.087951321531e-18  
  1.702158508395e+00  ,9.087951321531e-18  
  1.706082389003e+00  ,9.087951321531e-18  
  1.710015315090e+00  ,9.087951321531e-18  
  1.713957307508e+00  ,9.087951321531e-18  
  1.717908387158e+00  ,9.087951321531e-18  
  1.721868574986e+00  ,9.087951321531e-18  
  1.725837891990e+00  ,9.087951321531e-18  
  1.729816359215e+00  ,9.087951321531e-18  
  1.733803997754e+00  ,9.087951321531e-18  
  1.737800828749e+00  ,9.087951321531e-18  
  1.741806873392e+00  ,9.087951321531e-18  
  1.745822152920e+00  ,9.087951321531e-18  
  1.749846688625e+00  ,9.087951321531e-18  
  1.753880501842e+00  ,9.087951321531e-18  
  1.757923613959e+00  ,9.087951321531e-18  
  1.761976046412e+00  ,9.087951321531e-18  
  1.766037820686e+00  ,9.087951321531e-18  
  1.770108958317e+00  ,9.087951321531e-18  
  1.774189480890e+00  ,9.087951321531e-18  
  1.778279410039e+00  ,9.087951321531e-18  
  1.782378767448e+00  ,9.087951321531e-18  
  1.786487574852e+00  ,9.087951321531e-18  
  1.790605854035e+00  ,9.087951321531e-18  
  1.794733626833e+00  ,9.087951321531e-18  
  1.798870915129e+00  ,9.087951321531e-18  
  1.803017740860e+00  ,9.087951321531e-18  
  1.807174126011e+00  ,9.087951321531e-18  
  1.811340092620e+00  ,9.087951321531e-18  
  1.815515662773e+00  ,9.087951321531e-18  
  1.819700858610e+00  ,9.087951321531e-18  
  1.823895702320e+00  ,9.087951321531e-18  
  1.828100216143e+00  ,9.087951321531e-18  
  1.832314422371e+00  ,9.087951321531e-18  
  1.836538343348e+00  ,9.087951321531e-18  
  1.840772001469e+00  ,9.087951321531e-18  
  1.845015419179e+00  ,9.087951321531e-18  
  1.849268618978e+00  ,9.087951321531e-18  
  1.853531623415e+00  ,9.087951321531e-18  
  1.857804455092e+00  ,9.087951321531e-18  
  1.862087136663e+00  ,9.087951321531e-18  
  1.866379690835e+00  ,9.087951321531e-18  
  1.870682140366e+00  ,9.087951321531e-18  
  1.874994508067e+00  ,9.087951321531e-18  
  1.879316816803e+00  ,9.087951321531e-18  
  1.883649089490e+00  ,9.087951321531e-18  
  1.887991349096e+00  ,9.087951321531e-18  
  1.892343618645e+00  ,9.087951321531e-18  
  1.896705921211e+00  ,9.087951321531e-18  
  1.901078279923e+00  ,9.087951321531e-18  
  1.905460717963e+00  ,9.087951321531e-18  
  1.909853258566e+00  ,9.087951321531e-18  
  1.914255925021e+00  ,9.087951321531e-18  
  1.918668740670e+00  ,9.087951321531e-18  
  1.923091728910e+00  ,9.087951321531e-18  
  1.927524913191e+00  ,9.087951321531e-18  
  1.931968317017e+00  ,9.087951321531e-18  
  1.936421963947e+00  ,9.087951321531e-18  
  1.940885877593e+00  ,9.087951321531e-18  
  1.945360081623e+00  ,9.087951321531e-18  
  1.949844599758e+00  ,9.087951321531e-18  
  1.954339455775e+00  ,9.087951321531e-18  
  1.958844673506e+00  ,9.087951321531e-18  
  1.963360276836e+00  ,9.087951321531e-18  
  1.967886289707e+00  ,9.087951321531e-18  
  1.972422736115e+00  ,9.087951321531e-18  
  1.976969640112e+00  ,9.087951321531e-18  
  1.981527025805e+00  ,9.087951321531e-18  
  1.986094917357e+00  ,9.087951321531e-18  
  1.990673338987e+00  ,9.087951321531e-18  
  1.995262314969e+00  ,9.087951321531e-18  
  1.999861869633e+00  ,9.087951321531e-18  
  2.004472027365e+00  ,9.087951321531e-18  
  2.009092812609e+00  ,9.087951321531e-18  
  2.013724249862e+00  ,9.087951321531e-18  
  2.018366363682e+00  ,9.087951321531e-18  
  2.023019178678e+00  ,9.087951321531e-18  
  2.027682719521e+00  ,9.087951321531e-18  
  2.032357010936e+00  ,9.087951321531e-18  
  2.037042077706e+00  ,9.087951321531e-18  
  2.041737944669e+00  ,9.087951321531e-18  
  2.046444636725e+00  ,9.087951321531e-18  
  2.051162178826e+00  ,9.087951321531e-18  
  2.055890595984e+00  ,9.087951321531e-18  
  2.060629913270e+00  ,9.087951321531e-18  
  2.065380155810e+00  ,9.087951321531e-18  
  2.070141348791e+00  ,9.087951321531e-18  
  2.074913517455e+00  ,9.087951321531e-18  
  2.079696687104e+00  ,9.087951321531e-18  
  2.084490883097e+00  ,9.087951321531e-18  
  2.089296130854e+00  ,9.087951321531e-18  
  2.094112455851e+00  ,9.087951321531e-18  
  2.098939883623e+00  ,9.087951321531e-18  
  2.103778439766e+00  ,9.087951321531e-18  
  2.108628149933e+00  ,9.087951321531e-18  
  2.113489039837e+00  ,9.087951321531e-18  
  2.118361135248e+00  ,9.087951321531e-18  
  2.123244462000e+00  ,9.087951321531e-18  
  2.128139045983e+00  ,9.087951321531e-18  
  2.133044913147e+00  ,9.087951321531e-18  
  2.137962089502e+00  ,9.087951321531e-18  
  2.142890601120e+00  ,9.087951321531e-18  
  2.147830474130e+00  ,9.087951321531e-18  
  2.152781734724e+00  ,9.087951321531e-18  
  2.157744409153e+00  ,9.087951321531e-18  
  2.162718523727e+00  ,9.087951321531e-18  
  2.167704104820e+00  ,9.087951321531e-18  
  2.172701178864e+00  ,9.087951321531e-18  
  2.177709772353e+00  ,9.087951321531e-18  
  2.182729911843e+00  ,9.087951321531e-18  
  2.187761623950e+00  ,9.087951321531e-18  
  2.192804935350e+00  ,9.087951321531e-18  
  2.197859872785e+00  ,9.087951321531e-18  
  2.202926463053e+00  ,9.087951321531e-18  
  2.208004733019e+00  ,9.087951321531e-18  
  2.213094709606e+00  ,9.087951321531e-18  
  2.218196419800e+00  ,9.087951321531e-18  
  2.223309890651e+00  ,9.087951321531e-18  
  2.228435149270e+00  ,9.087951321531e-18  
  2.233572222830e+00  ,9.087951321531e-18  
  2.238721138568e+00  ,9.087951321531e-18  
  2.243881923783e+00  ,9.087951321531e-18  
  2.249054605836e+00  ,9.087951321531e-18  
  2.254239212152e+00  ,9.087951321531e-18  
  2.259435770221e+00  ,9.087951321531e-18  
  2.264644307593e+00  ,9.087951321531e-18  
  2.269864851884e+00  ,9.087951321531e-18  
  2.275097430772e+00  ,9.087951321531e-18  
  2.280342072000e+00  ,9.087951321531e-18  
  2.285598803375e+00  ,9.087951321531e-18  
  2.290867652768e+00  ,9.087951321531e-18  
  2.296148648112e+00  ,9.087951321531e-18  
  2.301441817408e+00  ,9.087951321531e-18  
  2.306747188720e+00  ,9.087951321531e-18  
  2.312064790176e+00  ,9.087951321531e-18  
  2.317394649968e+00  ,9.087951321531e-18  
  2.322736796357e+00  ,9.087951321531e-18  
  2.328091257665e+00  ,9.087951321531e-18  
  2.333458062281e+00  ,9.087951321531e-18  
  2.338837238659e+00  ,9.087951321531e-18  
  2.344228815320e+00  ,9.087951321531e-18  
  2.349632820848e+00  ,9.087951321531e-18  
  2.355049283896e+00  ,9.087951321531e-18  
  2.360478233181e+00  ,9.087951321531e-18  
  2.365919697486e+00  ,9.087951321531e-18  
  2.371373705662e+00  ,9.087951321531e-18  
  2.376840286625e+00  ,9.087951321531e-18  
  2.382319469359e+00  ,9.087951321531e-18  
  2.387811282913e+00  ,9.087951321531e-18  
  2.393315756405e+00  ,9.087951321531e-18  
  2.398832919019e+00  ,9.087951321531e-18  
  2.404362800007e+00  ,9.087951321531e-18  
  2.409905428687e+00  ,9.087951321531e-18  
  2.415460834445e+00  ,9.087951321531e-18  
  2.421029046736e+00  ,9.087951321531e-18  
  2.426610095082e+00  ,9.087951321531e-18  
  2.432204009074e+00  ,9.087951321531e-18  
  2.437810818369e+00  ,9.087951321531e-18  
  2.443430552694e+00  ,9.087951321531e-18  
  2.449063241845e+00  ,9.087951321531e-18  
  2.454708915685e+00  ,9.087951321531e-18  
  2.460367604148e+00  ,9.087951321531e-18  
  2.466039337234e+00  ,9.087951321531e-18  
  2.471724145016e+00  ,9.087951321531e-18  
  2.477422057633e+00  ,9.087951321531e-18  
  2.483133105296e+00  ,9.087951321531e-18  
  2.488857318282e+00  ,9.087951321531e-18  
  2.494594726943e+00  ,9.087951321531e-18  
  2.500345361696e+00  ,9.087951321531e-18  
  2.506109253032e+00  ,9.087951321531e-18  
  2.511886431510e+00  ,9.087951321531e-18  
  2.517676927759e+00  ,9.087951321531e-18  
  2.523480772481e+00  ,9.087951321531e-18  
  2.529297996446e+00  ,9.087951321531e-18  
  2.535128630498e+00  ,9.087951321531e-18  
  2.540972705549e+00  ,9.087951321531e-18  
  2.546830252585e+00  ,9.087951321531e-18  
  2.552701302661e+00  ,9.087951321531e-18  
  2.558585886906e+00  ,9.087951321531e-18  
  2.564484036518e+00  ,9.087951321531e-18  
  2.570395782769e+00  ,9.087951321531e-18  
  2.576321157003e+00  ,9.087951321531e-18  
  2.582260190635e+00  ,9.087951321531e-18  
  2.588212915153e+00  ,9.087951321531e-18  
  2.594179362119e+00  ,9.087951321531e-18  
  2.600159563165e+00  ,9.087951321531e-18  
  2.606153549999e+00  ,9.087951321531e-18  
  2.612161354399e+00  ,9.087951321531e-18  
  2.618183008219e+00  ,9.087951321531e-18  
  2.624218543384e+00  ,9.087951321531e-18  
  2.630267991895e+00  ,9.087951321531e-18  
  2.636331385825e+00  ,9.087951321531e-18  
  2.642408757322e+00  ,9.087951321531e-18  
  2.648500138607e+00  ,9.087951321531e-18  
  2.654605561975e+00  ,9.087951321531e-18  
  2.660725059799e+00  ,9.087951321531e-18  
  2.666858664521e+00  ,9.087951321531e-18  
  2.673006408663e+00  ,9.087951321531e-18  
  2.679168324819e+00  ,9.087951321531e-18  
  2.685344445658e+00  ,9.087951321531e-18  
  2.691534803927e+00  ,9.087951321531e-18  
  2.697739432445e+00  ,9.087951321531e-18  
  2.703958364109e+00  ,9.087951321531e-18  
  2.710191631891e+00  ,9.087951321531e-18  
  2.716439268839e+00  ,9.087951321531e-18  
  2.722701308078e+00  ,9.087951321531e-18  
  2.728977782808e+00  ,9.087951321531e-18  
  2.735268726307e+00  ,9.087951321531e-18  
  2.741574171928e+00  ,9.087951321531e-18  
  2.747894153102e+00  ,9.087951321531e-18  
  2.754228703338e+00  ,9.087951321531e-18  
  2.760577856220e+00  ,9.087951321531e-18  
  2.766941645411e+00  ,9.087951321531e-18  
  2.773320104652e+00  ,9.087951321531e-18  
  2.779713267759e+00  ,9.087951321531e-18  
  2.786121168630e+00  ,9.087951321531e-18  
  2.792543841237e+00  ,9.087951321531e-18  
  2.798981319634e+00  ,9.087951321531e-18  
  2.805433637952e+00  ,9.087951321531e-18  
  2.811900830399e+00  ,9.087951321531e-18  
  2.818382931264e+00  ,9.087951321531e-18  
  2.824879974916e+00  ,9.087951321531e-18  
  2.831391995799e+00  ,9.087951321531e-18  
  2.837919028441e+00  ,9.087951321531e-18  
  2.844461107448e+00  ,9.087951321531e-18  
  2.851018267504e+00  ,9.087951321531e-18  
  2.857590543375e+00  ,9.087951321531e-18  
  2.864177969907e+00  ,9.087951321531e-18  
  2.870780582025e+00  ,9.087951321531e-18  
  2.877398414736e+00  ,9.087951321531e-18  
  2.884031503127e+00  ,9.087951321531e-18  
  2.890679882365e+00  ,9.087951321531e-18  
  2.897343587701e+00  ,9.087951321531e-18  
  2.904022654464e+00  ,9.087951321531e-18  
  2.910717118067e+00  ,9.087951321531e-18  
  2.917427014001e+00  ,9.087951321531e-18  
  2.924152377843e+00  ,9.087951321531e-18  
  2.930893245250e+00  ,9.087951321531e-18  
  2.937649651961e+00  ,9.087951321531e-18  
  2.944421633799e+00  ,9.087951321531e-18  
  2.951209226666e+00  ,9.087951321531e-18  
  2.958012466551e+00  ,9.087951321531e-18  
  2.964831389524e+00  ,9.087951321531e-18  
  2.971666031738e+00  ,9.087951321531e-18  
  2.978516429429e+00  ,9.087951321531e-18  
  2.985382618918e+00  ,9.087951321531e-18  
  2.992264636608e+00  ,9.087951321531e-18  
  2.999162518988e+00  ,9.087951321531e-18  
  3.006076302628e+00  ,9.087951321531e-18  
  3.013006024186e+00  ,9.087951321531e-18  
  3.019951720402e+00  ,9.087951321531e-18  
  3.026913428101e+00  ,9.087951321531e-18  
  3.033891184194e+00  ,9.087951321531e-18  
  3.040885025676e+00  ,9.087951321531e-18  
  3.047894989628e+00  ,9.087951321531e-18  
  3.054921113215e+00  ,9.087951321531e-18  
  3.061963433691e+00  ,9.087951321531e-18  
  3.069021988391e+00  ,9.087951321531e-18  
  3.076096814741e+00  ,9.087951321531e-18  
  3.083187950249e+00  ,9.087951321531e-18  
  3.090295432514e+00  ,9.087951321531e-18  
  3.097419299217e+00  ,9.087951321531e-18  
  3.104559588128e+00  ,9.087951321531e-18  
  3.111716337106e+00  ,9.087951321531e-18  
  3.118889584094e+00  ,9.087951321531e-18  
  3.126079367124e+00  ,9.087951321531e-18  
  3.133285724316e+00  ,9.087951321531e-18  
  3.140508693876e+00  ,9.087951321531e-18  
  3.147748314101e+00  ,9.087951321531e-18  
  3.155004623375e+00  ,9.087951321531e-18  
  3.162277660168e+00  ,9.087951321531e-18  
  3.169567463043e+00  ,9.087951321531e-18  
  3.176874070650e+00  ,9.087951321531e-18  
  3.184197521726e+00  ,9.087951321531e-18  
  3.191537855101e+00  ,9.087951321531e-18  
  3.198895109691e+00  ,9.087951321531e-18  
  3.206269324505e+00  ,9.087951321531e-18  
  3.213660538640e+00  ,9.087951321531e-18  
  3.221068791283e+00  ,9.087951321531e-18  
  3.228494121713e+00  ,9.087951321531e-18  
  3.235936569296e+00  ,9.087951321531e-18  
  3.243396173493e+00  ,9.087951321531e-18  
  3.250872973854e+00  ,9.087951321531e-18  
  3.258367010020e+00  ,9.087951321531e-18  
  3.265878321723e+00  ,9.087951321531e-18  
  3.273406948788e+00  ,9.087951321531e-18  
  3.280952931131e+00  ,9.087951321531e-18  
  3.288516308760e+00  ,9.087951321531e-18  
  3.296097121774e+00  ,9.087951321531e-18  
  3.303695410368e+00  ,9.087951321531e-18  
  3.311311214826e+00  ,9.087951321531e-18  
  3.318944575526e+00  ,9.087951321531e-18  
  3.326595532940e+00  ,9.087951321531e-18  
  3.334264127632e+00  ,9.087951321531e-18  
  3.341950400261e+00  ,9.087951321531e-18  
  3.349654391578e+00  ,9.087951321531e-18  
  3.357376142429e+00  ,9.087951321531e-18  
  3.365115693755e+00  ,9.087951321531e-18  
  3.372873086589e+00  ,9.087951321531e-18  
  3.380648362060e+00  ,9.087951321531e-18  
  3.388441561392e+00  ,9.087951321531e-18  
  3.396252725904e+00  ,9.087951321531e-18  
  3.404081897010e+00  ,9.087951321531e-18  
  3.411929116219e+00  ,9.087951321531e-18  
  3.419794425137e+00  ,9.087951321531e-18  
  3.427677865464e+00  ,9.087951321531e-18  
  3.435579478999e+00  ,9.087951321531e-18  
  3.443499307633e+00  ,9.087951321531e-18  
  3.451437393358e+00  ,9.087951321531e-18  
  3.459393778261e+00  ,9.087951321531e-18  
  3.467368504525e+00  ,9.087951321531e-18  
  3.475361614432e+00  ,9.087951321531e-18  
  3.483373150360e+00  ,9.087951321531e-18  
  3.491403154786e+00  ,9.087951321531e-18  
  3.499451670283e+00  ,9.087951321531e-18  
  3.507518739526e+00  ,9.087951321531e-18  
  3.515604405283e+00  ,9.087951321531e-18  
  3.523708710425e+00  ,9.087951321531e-18  
  3.531831697919e+00  ,9.087951321531e-18  
  3.539973410834e+00  ,9.087951321531e-18  
  3.548133892336e+00  ,9.087951321531e-18  
  3.556313185690e+00  ,9.087951321531e-18  
  3.564511334262e+00  ,9.087951321531e-18  
  3.572728381519e+00  ,9.087951321531e-18  
  3.580964371026e+00  ,9.087951321531e-18  
  3.589219346450e+00  ,9.087951321531e-18  
  3.597493351557e+00  ,9.087951321531e-18  
  3.605786430216e+00  ,9.087951321531e-18  
  3.614098626396e+00  ,9.087951321531e-18  
  3.622429984167e+00  ,9.087951321531e-18  
  3.630780547701e+00  ,9.087951321531e-18  
  3.639150361272e+00  ,9.087951321531e-18  
  3.647539469256e+00  ,9.087951321531e-18  
  3.655947916131e+00  ,9.087951321531e-18  
  3.664375746478e+00  ,9.087951321531e-18  
  3.672823004981e+00  ,9.087951321531e-18  
  3.681289736425e+00  ,9.087951321531e-18  
  3.689775985701e+00  ,9.087951321531e-18  
  3.698281797803e+00  ,9.087951321531e-18  
  3.706807217826e+00  ,9.087951321531e-18  
  3.715352290972e+00  ,9.087951321531e-18  
  3.723917062546e+00  ,9.087951321531e-18  
  3.732501577957e+00  ,9.087951321531e-18  
  3.741105882720e+00  ,9.087951321531e-18  
  3.749730022455e+00  ,9.087951321531e-18  
  3.758374042884e+00  ,9.087951321531e-18  
  3.767037989839e+00  ,9.087951321531e-18  
  3.775721909254e+00  ,9.087951321531e-18  
  3.784425847171e+00  ,9.087951321531e-18  
  3.793149849737e+00  ,9.087951321531e-18  
  3.801893963205e+00  ,9.087951321531e-18  
