  Frequency            , I(Rload)             
  1.757923613959e+00  ,2.118705943831e-05  
  1.761976046412e+00  ,2.118705943919e-05  
  1.766037820686e+00  ,2.118705944008e-05  
  1.770108958317e+00  ,2.118705944097e-05  
  1.774189480890e+00  ,2.118705944187e-05  
  1.778279410039e+00  ,2.118705944277e-05  
  1.782378767448e+00  ,2.118705944368e-05  
  1.786487574852e+00  ,2.118705944459e-05  
  1.790605854035e+00  ,2.118705944550e-05  
  1.794733626833e+00  ,2.118705944642e-05  
  1.798870915129e+00  ,2.118705944734e-05  
  1.803017740860e+00  ,2.118705944827e-05  
  1.807174126011e+00  ,2.118705944920e-05  
  1.811340092620e+00  ,2.118705945013e-05  
  1.815515662773e+00  ,2.118705945107e-05  
  1.819700858610e+00  ,2.118705945202e-05  
  1.823895702320e+00  ,2.118705945297e-05  
  1.828100216143e+00  ,2.118705945392e-05  
  1.832314422371e+00  ,2.118705945488e-05  
  1.836538343348e+00  ,2.118705945584e-05  
  1.840772001469e+00  ,2.118705945680e-05  
  1.845015419179e+00  ,2.118705945777e-05  
  1.849268618978e+00  ,2.118705945875e-05  
  1.853531623415e+00  ,2.118705945973e-05  
  1.857804455092e+00  ,2.118705946071e-05  
  1.862087136663e+00  ,2.118705946170e-05  
  1.866379690835e+00  ,2.118705946269e-05  
  1.870682140366e+00  ,2.118705946369e-05  
  1.874994508067e+00  ,2.118705946469e-05  
  1.879316816803e+00  ,2.118705946570e-05  
  1.883649089490e+00  ,2.118705946671e-05  
  1.887991349096e+00  ,2.118705946773e-05  
  1.892343618645e+00  ,2.118705946875e-05  
  1.896705921211e+00  ,2.118705946977e-05  
  1.901078279923e+00  ,2.118705947080e-05  
  1.905460717963e+00  ,2.118705947184e-05  
  1.909853258566e+00  ,2.118705947288e-05  
  1.914255925021e+00  ,2.118705947392e-05  
  1.918668740670e+00  ,2.118705947497e-05  
  1.923091728910e+00  ,2.118705947603e-05  
  1.927524913191e+00  ,2.118705947708e-05  
  1.931968317017e+00  ,2.118705947815e-05  
  1.936421963947e+00  ,2.118705947922e-05  
  1.940885877593e+00  ,2.118705948029e-05  
  1.945360081623e+00  ,2.118705948137e-05  
  1.949844599758e+00  ,2.118705948245e-05  
  1.954339455775e+00  ,2.118705948354e-05  
  1.958844673506e+00  ,2.118705948464e-05  
  1.963360276836e+00  ,2.118705948573e-05  
  1.967886289707e+00  ,2.118705948684e-05  
  1.972422736115e+00  ,2.118705948795e-05  
  1.976969640112e+00  ,2.118705948906e-05  
  1.981527025805e+00  ,2.118705949018e-05  
  1.986094917357e+00  ,2.118705949131e-05  
  1.990673338987e+00  ,2.118705949243e-05  
  1.995262314969e+00  ,2.118705949357e-05  
  1.999861869633e+00  ,2.118705949471e-05  
  2.004472027365e+00  ,2.118705949586e-05  
  2.009092812609e+00  ,2.118705949701e-05  
  2.013724249862e+00  ,2.118705949816e-05  
  2.018366363682e+00  ,2.118705949932e-05  
  2.023019178678e+00  ,2.118705950049e-05  
  2.027682719521e+00  ,2.118705950166e-05  
  2.032357010936e+00  ,2.118705950284e-05  
  2.037042077706e+00  ,2.118705950402e-05  
  2.041737944669e+00  ,2.118705950521e-05  
  2.046444636725e+00  ,2.118705950640e-05  
  2.051162178826e+00  ,2.118705950760e-05  
  2.055890595984e+00  ,2.118705950881e-05  
  2.060629913270e+00  ,2.118705951002e-05  
  2.065380155810e+00  ,2.118705951123e-05  
  2.070141348791e+00  ,2.118705951246e-05  
  2.074913517455e+00  ,2.118705951368e-05  
  2.079696687104e+00  ,2.118705951492e-05  
  2.084490883097e+00  ,2.118705951615e-05  
  2.089296130854e+00  ,2.118705951740e-05  
  2.094112455851e+00  ,2.118705951865e-05  
  2.098939883623e+00  ,2.118705951990e-05  
  2.103778439766e+00  ,2.118705952117e-05  
  2.108628149933e+00  ,2.118705952243e-05  
  2.113489039837e+00  ,2.118705952371e-05  
  2.118361135248e+00  ,2.118705952499e-05  
  2.123244462000e+00  ,2.118705952627e-05  
  2.128139045983e+00  ,2.118705952756e-05  
  2.133044913147e+00  ,2.118705952886e-05  
  2.137962089502e+00  ,2.118705953016e-05  
  2.142890601120e+00  ,2.118705953147e-05  
  2.147830474130e+00  ,2.118705953279e-05  
  2.152781734724e+00  ,2.118705953411e-05  
  2.157744409153e+00  ,2.118705953543e-05  
  2.162718523727e+00  ,2.118705953677e-05  
  2.167704104820e+00  ,2.118705953811e-05  
  2.172701178864e+00  ,2.118705953945e-05  
  2.177709772353e+00  ,2.118705954080e-05  
  2.182729911843e+00  ,2.118705954216e-05  
  2.187761623950e+00  ,2.118705954353e-05  
  2.192804935350e+00  ,2.118705954490e-05  
  2.197859872785e+00  ,2.118705954627e-05  
  2.202926463053e+00  ,2.118705954766e-05  
  2.208004733019e+00  ,2.118705954905e-05  
  2.213094709606e+00  ,2.118705955044e-05  
  2.218196419800e+00  ,2.118705955184e-05  
  2.223309890651e+00  ,2.118705955325e-05  
  2.228435149270e+00  ,2.118705955467e-05  
  2.233572222830e+00  ,2.118705955609e-05  
  2.238721138568e+00  ,2.118705955752e-05  
  2.243881923783e+00  ,2.118705955896e-05  
  2.249054605836e+00  ,2.118705956040e-05  
  2.254239212152e+00  ,2.118705956185e-05  
  2.259435770221e+00  ,2.118705956330e-05  
  2.264644307593e+00  ,2.118705956476e-05  
  2.269864851884e+00  ,2.118705956623e-05  
  2.275097430772e+00  ,2.118705956771e-05  
  2.280342072000e+00  ,2.118705956919e-05  
  2.285598803375e+00  ,2.118705957068e-05  
  2.290867652768e+00  ,2.118705957217e-05  
  2.296148648112e+00  ,2.118705957368e-05  
  2.301441817408e+00  ,2.118705957519e-05  
  2.306747188720e+00  ,2.118705957670e-05  
  2.312064790176e+00  ,2.118705957823e-05  
  2.317394649968e+00  ,2.118705957976e-05  
  2.322736796357e+00  ,2.118705958130e-05  
  2.328091257665e+00  ,2.118705958284e-05  
  2.333458062281e+00  ,2.118705958439e-05  
  2.338837238659e+00  ,2.118705958595e-05  
  2.344228815320e+00  ,2.118705958752e-05  
  2.349632820848e+00  ,2.118705958909e-05  
