  Frequency            , SQRT(S(NTOT(ONOISE)))
  2.157744409153e+00  ,3.243690002629e-09  
  2.162718523727e+00  ,3.250650603229e-09  
  2.167704104820e+00  ,3.257612325393e-09  
  2.172701178864e+00  ,3.264575198738e-09  
  2.177709772353e+00  ,3.271539252712e-09  
  2.182729911843e+00  ,3.278504516597e-09  
  2.187761623950e+00  ,3.285471019509e-09  
  2.192804935350e+00  ,3.292438790402e-09  
  2.197859872785e+00  ,3.299407858068e-09  
  2.202926463053e+00  ,3.306378251140e-09  
  2.208004733019e+00  ,3.313349998092e-09  
  2.213094709606e+00  ,3.320323127243e-09  
  2.218196419800e+00  ,3.327297666757e-09  
  2.223309890651e+00  ,3.334273644647e-09  
  2.228435149270e+00  ,3.341251088773e-09  
  2.233572222830e+00  ,3.348230026847e-09  
  2.238721138568e+00  ,3.355210486432e-09  
  2.243881923783e+00  ,3.362192494946e-09  
  2.249054605836e+00  ,3.369176079662e-09  
  2.254239212152e+00  ,3.376161267712e-09  
  2.259435770221e+00  ,3.383148086082e-09  
  2.264644307593e+00  ,3.390136561624e-09  
  2.269864851884e+00  ,3.397126721046e-09  
  2.275097430772e+00  ,3.404118590923e-09  
  2.280342072000e+00  ,3.411112197693e-09  
  2.285598803375e+00  ,3.418107567660e-09  
  2.290867652768e+00  ,3.425104726996e-09  
  2.296148648112e+00  ,3.432103701742e-09  
  2.301441817408e+00  ,3.439104517809e-09  
  2.306747188720e+00  ,3.446107200978e-09  
  2.312064790176e+00  ,3.453111776907e-09  
  2.317394649968e+00  ,3.460118271123e-09  
  2.322736796357e+00  ,3.467126709033e-09  
  2.328091257665e+00  ,3.474137115920e-09  
  2.333458062281e+00  ,3.481149516943e-09  
  2.338837238659e+00  ,3.488163937144e-09  
  2.344228815320e+00  ,3.495180401442e-09  
  2.349632820848e+00  ,3.502198934642e-09  
  2.355049283896e+00  ,3.509219561430e-09  
  2.360478233181e+00  ,3.516242306376e-09  
  2.365919697486e+00  ,3.523267193937e-09  
  2.371373705662e+00  ,3.530294248456e-09  
  2.376840286625e+00  ,3.537323494165e-09  
  2.382319469359e+00  ,3.544354955184e-09  
  2.387811282913e+00  ,3.551388655524e-09  
  2.393315756405e+00  ,3.558424619088e-09  
  2.398832919019e+00  ,3.565462869671e-09  
  2.404362800007e+00  ,3.572503430962e-09  
  2.409905428687e+00  ,3.579546326543e-09  
  2.415460834445e+00  ,3.586591579894e-09  
  2.421029046736e+00  ,3.593639214393e-09  
  2.426610095082e+00  ,3.600689253312e-09  
  2.432204009074e+00  ,3.607741719825e-09  
  2.437810818369e+00  ,3.614796637005e-09  
  2.443430552694e+00  ,3.621854027828e-09  
  2.449063241845e+00  ,3.628913915169e-09  
  2.454708915685e+00  ,3.635976321807e-09  
  2.460367604148e+00  ,3.643041270427e-09  
  2.466039337234e+00  ,3.650108783617e-09  
  2.471724145016e+00  ,3.657178883871e-09  
  2.477422057633e+00  ,3.664251593590e-09  
  2.483133105296e+00  ,3.671326935085e-09  
  2.488857318282e+00  ,3.678404930572e-09  
  2.494594726943e+00  ,3.685485602180e-09  
  2.500345361696e+00  ,3.692568971946e-09  
  2.506109253032e+00  ,3.699655061822e-09  
  2.511886431510e+00  ,3.706743893668e-09  
  2.517676927759e+00  ,3.713835489259e-09  
  2.523480772481e+00  ,3.720929870287e-09  
  2.529297996446e+00  ,3.728027058354e-09  
  2.535128630498e+00  ,3.735127074981e-09  
  2.540972705549e+00  ,3.742229941604e-09  
  2.546830252585e+00  ,3.749335679579e-09  
  2.552701302661e+00  ,3.756444310177e-09  
  2.558585886906e+00  ,3.763555854591e-09  
  2.564484036518e+00  ,3.770670333931e-09  
  2.570395782769e+00  ,3.777787769230e-09  
  2.576321157003e+00  ,3.784908181441e-09  
  2.582260190635e+00  ,3.792031591441e-09  
  2.588212915153e+00  ,3.799158020027e-09  
  2.594179362119e+00  ,3.806287487924e-09  
  2.600159563165e+00  ,3.813420015777e-09  
  2.606153549999e+00  ,3.820555624159e-09  
  2.612161354399e+00  ,3.827694333569e-09  
  2.618183008219e+00  ,3.834836164430e-09  
  2.624218543384e+00  ,3.841981137097e-09  
  2.630267991895e+00  ,3.849129271848e-09  
  2.636331385825e+00  ,3.856280588893e-09  
  2.642408757322e+00  ,3.863435108372e-09  
  2.648500138607e+00  ,3.870592850352e-09  
  2.654605561975e+00  ,3.877753834834e-09  
  2.660725059799e+00  ,3.884918081749e-09  
  2.666858664521e+00  ,3.892085610960e-09  
  2.673006408663e+00  ,3.899256442265e-09  
  2.679168324819e+00  ,3.906430595392e-09  
  2.685344445658e+00  ,3.913608090006e-09  
  2.691534803927e+00  ,3.920788945705e-09  
  2.697739432445e+00  ,3.927973182024e-09  
  2.703958364109e+00  ,3.935160818434e-09  
  2.710191631891e+00  ,3.942351874340e-09  
  2.716439268839e+00  ,3.949546369088e-09  
  2.722701308078e+00  ,3.956744321958e-09  
  2.728977782808e+00  ,3.963945752173e-09  
  2.735268726307e+00  ,3.971150678890e-09  
  2.741574171928e+00  ,3.978359121210e-09  
  2.747894153102e+00  ,3.985571098172e-09  
  2.754228703338e+00  ,3.992786628756e-09  
  2.760577856220e+00  ,4.000005731883e-09  
  2.766941645411e+00  ,4.007228426417e-09  
