  Frequency            , sqrt(ntot(onoise))   
  1.342764961138e+00  ,3.014622915313e-09  
  1.345860354056e+00  ,3.014622915313e-09  
  1.348962882592e+00  ,3.014622915313e-09  
  1.352072563194e+00  ,3.014622915313e-09  
  1.355189412351e+00  ,3.014622915313e-09  
  1.358313446587e+00  ,3.014622915313e-09  
  1.361444682466e+00  ,3.014622915313e-09  
  1.364583136589e+00  ,3.014622915313e-09  
  1.367728825596e+00  ,3.014622915313e-09  
  1.370881766165e+00  ,3.014622915313e-09  
  1.374041975013e+00  ,3.014622915313e-09  
  1.377209468894e+00  ,3.014622915313e-09  
  1.380384264603e+00  ,3.014622915313e-09  
  1.383566378972e+00  ,3.014622915313e-09  
  1.386755828872e+00  ,3.014622915313e-09  
  1.389952631213e+00  ,3.014622915313e-09  
  1.393156802945e+00  ,3.014622915313e-09  
  1.396368361056e+00  ,3.014622915313e-09  
  1.399587322573e+00  ,3.014622915313e-09  
  1.402813704562e+00  ,3.014622915313e-09  
  1.406047524130e+00  ,3.014622915313e-09  
  1.409288798422e+00  ,3.014622915313e-09  
  1.412537544623e+00  ,3.014622915313e-09  
  1.415793779957e+00  ,3.014622915313e-09  
  1.419057521689e+00  ,3.014622915313e-09  
  1.422328787123e+00  ,3.014622915313e-09  
  1.425607593602e+00  ,3.014622915313e-09  
  1.428893958511e+00  ,3.014622915313e-09  
  1.432187899274e+00  ,3.014622915313e-09  
  1.435489433354e+00  ,3.014622915313e-09  
  1.438798578256e+00  ,3.014622915313e-09  
  1.442115351525e+00  ,3.014622915313e-09  
  1.445439770746e+00  ,3.014622915313e-09  
  1.448771853545e+00  ,3.014622915313e-09  
  1.452111617588e+00  ,3.014622915313e-09  
  1.455459080582e+00  ,3.014622915313e-09  
  1.458814260275e+00  ,3.014622915313e-09  
  1.462177174457e+00  ,3.014622915313e-09  
  1.465547840956e+00  ,3.014622915313e-09  
  1.468926277644e+00  ,3.014622915313e-09  
  1.472312502433e+00  ,3.014622915313e-09  
  1.475706533276e+00  ,3.014622915313e-09  
  1.479108388168e+00  ,3.014622915313e-09  
  1.482518085146e+00  ,3.014622915313e-09  
  1.485935642287e+00  ,3.014622915313e-09  
  1.489361077711e+00  ,3.014622915313e-09  
  1.492794409579e+00  ,3.014622915313e-09  
  1.496235656094e+00  ,3.014622915313e-09  
  1.499684835502e+00  ,3.014622915313e-09  
  1.503141966090e+00  ,3.014622915313e-09  
  1.506607066187e+00  ,3.014622915313e-09  
  1.510080154164e+00  ,3.014622915313e-09  
  1.513561248436e+00  ,3.014622915313e-09  
  1.517050367459e+00  ,3.014622915313e-09  
  1.520547529732e+00  ,3.014622915313e-09  
  1.524052753797e+00  ,3.014622915313e-09  
  1.527566058238e+00  ,3.014622915313e-09  
  1.531087461682e+00  ,3.014622915313e-09  
  1.534616982799e+00  ,3.014622915313e-09  
  1.538154640303e+00  ,3.014622915313e-09  
  1.541700452950e+00  ,3.014622915313e-09  
  1.545254439538e+00  ,3.014622915313e-09  
  1.548816618912e+00  ,3.014622915313e-09  
  1.552387009958e+00  ,3.014622915313e-09  
  1.555965631605e+00  ,3.014622915313e-09  
  1.559552502827e+00  ,3.014622915313e-09  
  1.563147642641e+00  ,3.014622915313e-09  
  1.566751070108e+00  ,3.014622915313e-09  
  1.570362804334e+00  ,3.014622915313e-09  
  1.573982864466e+00  ,3.014622915313e-09  
  1.577611269699e+00  ,3.014622915313e-09  
  1.581248039270e+00  ,3.014622915313e-09  
  1.584893192461e+00  ,3.014622915313e-09  
  1.588546748598e+00  ,3.014622915313e-09  
  1.592208727051e+00  ,3.014622915313e-09  
  1.595879147237e+00  ,3.014622915313e-09  
  1.599558028615e+00  ,3.014622915313e-09  
  1.603245390690e+00  ,3.014622915313e-09  
  1.606941253013e+00  ,3.014622915313e-09  
  1.610645635178e+00  ,3.014622915313e-09  
  1.614358556826e+00  ,3.014622915313e-09  
  1.618080037643e+00  ,3.014622915313e-09  
  1.621810097359e+00  ,3.014622915313e-09  
  1.625548755750e+00  ,3.014622915313e-09  
  1.629296032640e+00  ,3.014622915313e-09  
  1.633051947894e+00  ,3.014622915313e-09  
  1.636816521428e+00  ,3.014622915313e-09  
  1.640589773200e+00  ,3.014622915313e-09  
  1.644371723215e+00  ,3.014622915313e-09  
  1.648162391525e+00  ,3.014622915313e-09  
  1.651961798229e+00  ,3.014622915313e-09  
  1.655769963470e+00  ,3.014622915313e-09  
  1.659586907438e+00  ,3.014622915313e-09  
  1.663412650370e+00  ,3.014622915313e-09  
  1.667247212551e+00  ,3.014622915313e-09  
  1.671090614311e+00  ,3.014622915313e-09  
  1.674942876026e+00  ,3.014622915313e-09  
  1.678804018123e+00  ,3.014622915313e-09  
  1.682674061070e+00  ,3.014622915313e-09  
  1.686553025389e+00  ,3.014622915313e-09  
  1.690440931643e+00  ,3.014622915313e-09  
  1.694337800447e+00  ,3.014622915313e-09  
  1.698243652462e+00  ,3.014622915313e-09  
  1.702158508395e+00  ,3.014622915313e-09  
  1.706082389003e+00  ,3.014622915313e-09  
  1.710015315090e+00  ,3.014622915313e-09  
  1.713957307508e+00  ,3.014622915313e-09  
  1.717908387158e+00  ,3.014622915313e-09  
  1.721868574986e+00  ,3.014622915313e-09  
  1.725837891990e+00  ,3.014622915313e-09  
  1.729816359215e+00  ,3.014622915313e-09  
  1.733803997754e+00  ,3.014622915313e-09  
  1.737800828749e+00  ,3.014622915313e-09  
  1.741806873392e+00  ,3.014622915313e-09  
  1.745822152920e+00  ,3.014622915313e-09  
  1.749846688625e+00  ,3.014622915313e-09  
